ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
5914,0.848484848,0.393939394,0.785714286,0.404761905,0.923469388,0.887755102
5915,0.6,0.466666667,0.590909091,0.454545455,0.73015873,0.619047619
5916,0.176470588,0.058823529,0.291666667,0.208333333,0.666666667,-0.5
5917,0,0,-1,0,0.444444444,0.277777778
5918,0.3,0.2,0.666666667,0.256410256,0.848101266,0.797468354
5919,0.541666667,0.333333333,0.59375,0.375,-0.5,-1.5
5920,-1,0,-1,0,0.480769231,0.326923077
5921,0.259259259,0.222222222,0.285714286,0.314285714,0.797752809,0.719101124
5922,0.388888889,0.222222222,0.4,0.28,0.660377358,0.566037736
5923,1.485714286,0.314285714,1.2,0.377777778,0.853658537,0.796747967
5924,0.222222222,0.222222222,0.36,0.36,0.775193798,0.689922481
5925,0.379310345,0.206896552,0.325,0.2,0.172413793,-0.137931034
5926,0.173913043,0.130434783,-1,0.15625,0.834782609,0.782608696
5927,0.210526316,0.105263158,0.4,0.16,0.535211268,0.422535211
5928,0.212121212,0.242424242,0.219512195,0.219512195,0.580645161,0.451612903
